state,percent_pop
Alabama,8.0
Arkansas,7.6
Arizona,8.3
California,10.4
Colorado,7.9
Connecticut,8.3
Florida,8.5
Georgia,9.2
Iowa,5.0
Idaho,7.2
Illinois,9.0
Indiana,8.3
Kansas,5.7
Louisiana,7.1
Massachusetts,6.7
Michigan,9.1
Minnesota,5.6
Missouri,6.9
Mississippi,9.0
Montana,6.0
North Carolina,9.3
North Dakota,3.1
New Hampshire,4.0
New Jersey,5.5
Nevada,9.3
New York,11.2
Ohio,8.5
Oklahoma,7.4
Oregon,5.2
Pennsylvania,8.8
Rhode Island,7.8
South Carolina,10.4
South Dakota,9.2
Tennessee,4.3
Texas,7.8
Utah,6.7
Virginia,5.4
Washington,6.1
Wisconsin,8.1
